full_name,clone_url,default_branch,stargazers_count,last_pushed,license_spdx,license_class,language,archived
git-town/git-town,https://github.com/git-town/git-town.git,main,3152,2026-04-19,MIT,permissive,Gherkin,False
keygen-sh/keygen-api,https://github.com/keygen-sh/keygen-api.git,master,1404,2026-04-17,NOASSERTION,unknown,Gherkin,False
inukshuk/jekyll-scholar,https://github.com/inukshuk/jekyll-scholar.git,main,1197,2026-01-06,MIT,permissive,Gherkin,False
opencypher/openCypher,https://github.com/opencypher/openCypher.git,main,986,2026-03-20,Apache-2.0,permissive,Gherkin,False
serverlessworkflow/specification,https://github.com/serverlessworkflow/specification.git,main,883,2026-02-26,Apache-2.0,permissive,Gherkin,False
scality/Zenko,https://github.com/scality/Zenko.git,development/2.14,664,2026-04-17,Apache-2.0,permissive,Gherkin,False
FriendsOfBehat/SymfonyExtension,https://github.com/FriendsOfBehat/SymfonyExtension.git,master,482,2025-06-03,MIT,permissive,Gherkin,False
elastic/apm,https://github.com/elastic/apm.git,main,425,2026-03-15,Apache-2.0,permissive,Gherkin,False
reitzig/sdkman-for-fish,https://github.com/reitzig/sdkman-for-fish.git,main,418,2026-04-13,MIT,permissive,Gherkin,False
wildlyinaccurate/jekyll-responsive-image,https://github.com/wildlyinaccurate/jekyll-responsive-image.git,master,332,2023-04-23,MIT,permissive,Gherkin,False
trema/trema,https://github.com/trema/trema.git,develop,269,2018-06-13,,unlicensed,Gherkin,False
hoppinger/advanced-custom-fields-wpcli,https://github.com/hoppinger/advanced-custom-fields-wpcli.git,master,253,2023-10-18,MIT,permissive,Gherkin,False
FriendsOfBehat/VariadicExtension,https://github.com/FriendsOfBehat/VariadicExtension.git,master,228,2026-03-23,MIT,permissive,Gherkin,False
FriendsOfBehat/SuiteSettingsExtension,https://github.com/FriendsOfBehat/SuiteSettingsExtension.git,master,215,2021-02-05,MIT,permissive,Gherkin,False
owasp-cloud-security/owasp-cloud-security,https://github.com/owasp-cloud-security/owasp-cloud-security.git,master,182,2018-12-07,MIT,permissive,Gherkin,False
iphoting/ovpnmcgen.rb,https://github.com/iphoting/ovpnmcgen.rb.git,develop,172,2026-04-01,MIT,permissive,Gherkin,False
